"time","virtualBench_layout_v1.acc_x"
0,-0
0,-0
0,-0
5.050356284942133e-5,-0
5.050356284942133e-5,-0
5.2241807465039754e-5,-0
5.2241807465039754e-5,-0
5.650533876561014e-5,-0
5.650533876561014e-5,-0
6.671007921995163e-5,-0
6.671007921995163e-5,-0
1.953125e-4,-0
1.953125e-4,-0
3.90625e-4,-0
3.90625e-4,-0
5.859375e-4,-0
5.859375e-4,-0
7.8125e-4,-0
7.8125e-4,-0
9.765625e-4,-0
9.765625e-4,-0
0.001,-0
0.001171875,-0
0.001171875,-0
0.0013671875,-0
0.0013671875,-0
0.0015625,-0
0.0015625,-0
0.0017578125,-0
0.0017578125,-0
0.001953125,-0
0.001953125,-0
0.002,-0
0.0021484375,-0
0.0021484375,-0
0.00234375,-0
0.00234375,-0
0.0025390625,-0
0.0025390625,-0
0.002734375,-0
0.002734375,-0
0.0029296875,-0
0.0029296875,-0
0.003,-0
0.003125,-0
0.003125,-0
0.0033203125,-0
0.0033203125,-0
0.003515625,-0
0.003515625,-0
0.0037109375,-0
0.0037109375,-0
0.00390625,-0
0.00390625,-0
0.004,-0
0.0041015625,-0
0.0041015625,-0
0.004296875,-0
0.004296875,-0
0.0044921875,-0
0.0044921875,-0
0.0046875,-0
0.0046875,-0
0.0048828125,-0
0.0048828125,-0
0.005,-0
0.005078125,-0
0.005078125,-0
0.0052734375,-0
0.0052734375,-0
0.00546875,-0
0.00546875,-0
0.0056640625,-0
0.0056640625,-0
0.005859375,-0
0.005859375,-0
0.006,-0
0.0060546875,-0
0.0060546875,-0
0.00625,-0
0.00625,-0
0.0064453125,-0
0.0064453125,-0
0.006640625,-0
0.006640625,-0
0.0068359375,-0
0.0068359375,-0
0.007,-0
0.00703125,-0
0.00703125,-0
0.0072265625,-0
0.0072265625,-0
0.007421875,-0
0.007421875,-0
0.0076171875,-0
0.0076171875,-0
0.0078125,-0
0.0078125,-0
0.008,-0
0.0080078125,-0
0.0080078125,-0
0.008203125,-0
0.008203125,-0
0.0083984375,-0
0.0083984375,-0
0.00859375,-0
0.00859375,-0
0.0087890625,-0
0.0087890625,-0
0.008984375,-0
0.008984375,-0
0.009,-0
0.0091796875,-0
0.0091796875,-0
0.009375,-0
0.009375,-0
0.0095703125,-0
0.0095703125,-0
0.009765625,-0
0.009765625,-0
0.0099609375,-0
0.0099609375,-0
0.01,-0
0.01015625,-0
0.01015625,-0
0.0103515625,-0
0.0103515625,-0
0.010546875,-0
0.010546875,-0
0.0107421875,-0
0.0107421875,-0
0.0109375,-0
0.0109375,-0
0.011,-0
0.0111328125,-0
0.0111328125,-0
0.011328125,-0
0.011328125,-0
0.0115234375,-0
0.0115234375,-0
